Vorname;Nachname;Geschlecht;Alter;Straße;Postleitzahl;Bruttogehalt
Karl;Krainz;Männlich;49;Bucheggerstraße 5/4;3015;32.821
Selena;Schmidinger;Weiblich;21;Schüllerplatz 5;2877;27.500
Amanda;List;Weiblich;21;Zehetnerstr. 627;1030;50.155
Bernhard;Schweitzer;Männlich;21;Martinstraße 76;1030;41.171
Lorenz;Jandl;Männlich;21;Traunerstraße 53;1281;50.229
Anja;Schaller;Weiblich;44;Brandlplatz 088;2060;27.500
Fiona;Schweitzer;Weiblich;21;Jennifer-Pucher-Platz 2/4;1030;27.500
Manuela;Engl;Weiblich;27;Karnerplatz 1;1030;38.223
Konstantin;Fehringer;Männlich;21;Gartnerring 4/8;3641;48.847
William;Neubauer;Männlich;49;Violetta-Bader-Platz 7;1030;50.609
Bernhard;Haslauer;Männlich;27;Dünsergasse 464;3638;42.696
Mathilda;Scharinger;Weiblich;28;Mühlbachergasse 6;1030;41.422
